,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
103,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,46.4879,18,AT09,8.5376,5.1601,238.8513596,9.88373144,246.8688859,8.343466561,0.844161601,8.017526278,33.1381481,1.069504656,5.611679129,0.903730571,35.37250385,0.944973633
104,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,78.5984,2,AT09,4.5906,-8.4252,331.415562,9.57235717,306.630712,8.906317605,0.930420527,24.78485003,14.19762116,0.790364757,-7.719568332,0.553524374,58.2850587,0.422244402
105,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,49.5251,8,AT09,4.6398,-8.6372,331.7558425,9.8040896,320.7760581,9.909808248,1.010783117,10.97978447,30.04742933,0.659315555,-11.83003619,0.813755479,64.39997862,0.655908104
106,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,49.8479,24,AT09,6.5417,-7.2695,318.0164891,9.827376362,259.7666047,8.959411983,0.911678932,58.24988438,34.26192986,0.823432167,-5.564160368,0.764989124,51.73111647,0.816019635
107,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,494.948,16,AT09,6.836,-7.0626,315.9340562,9.839892729,284.2001399,9.199389642,0.934907513,31.7339163,17.16218547,0.854691542,17.18541408,1.041765822,44.46035936,0.676191949
108,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,73.1382,1,AT09,8.3981,-5.0162,300.8499468,9.783946823,290.1184913,7.650828358,0.781977713,10.73145549,29.04939958,0.906420283,24.76358533,0.928145742,31.4638956,0.94302512
109,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,26.7501,11,AT09,2.7116,8.9054,196.9349373,9.262038991,217.3908876,8.34500499,0.900990052,20.45595032,6.959976249,0.595389766,26.96811423,0.801444042,73.75096271,0.623604622
110,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,28.9956,6,AT09,4.26,7.9373,208.2227417,8.983220155,182.3373683,7.396822784,0.823404376,-25.88537339,16.72943346,0.773999507,-10.05198723,0.991974536,59.97341107,0.40519608
111,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,32.2012,9,AT09,4.2516,8.582,206.3542288,9.515513245,211.3146776,7.518730029,0.790154964,4.960448817,21.60294367,0.77415001,-8.714153249,0.947824847,63.111121,0.549341806
112,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,26.996,28,AT09,4.6069,8.7469,207.7753034,9.885815838,222.4320557,6.097857337,0.616828943,14.65675229,32.64055141,0.70686293,-5.125624979,0.878264223,62.08303674,0.695817481
113,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,35.3056,7,AT09,6.2523,6.9303,222.0557902,9.397637824,233.3476347,9.406667744,1.000960871,11.29184449,28.62010768,0.878590508,38.0413933,0.47947204,54.75283553,0.871490731
114,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,26.9407,22,AT09,6.0799,7.2226,220.0902795,9.425579715,222.0946756,10.043409,1.065548147,2.004396162,20.20994291,0.970802226,3.890876135,0.71066224,45.28807529,0.669119631
115,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,39.5284,12,AT09,8.4248,5.5493,236.6276528,9.973962242,249.1793536,9.497650064,0.952244437,12.55170087,23.71781858,0.98072727,41.99391868,0.681594267,38.28363209,0.890398703
116,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,34.9711,17,AT09,3.4642,-9.2996,339.569102,9.865824404,309.5226423,10.00786256,1.014396988,30.04645974,13.64868494,0.73589644,-19.04242431,0.585948108,68.78151331,0.522922175
117,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,27.5886,13,AT09,4.25,-8.5077,333.4556951,9.420781887,354.0752687,6.975626132,0.740450869,-20.61957358,18.51741655,0.781010381,-13.8972702,0.85885096,55.02379884,0.48201472
118,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,39.4947,5,AT09,4.2182,-8.5284,333.6827128,9.472217408,348.7220776,7.649380258,0.807559617,-15.03936477,25.28790327,0.784049294,-4.365443189,0.797689136,66.46854737,0.599021051
