,Triangle_index,Size,Angle.C,Angle.B,Angle.A,Side.A_B,SideC_A,Side.B_C,Total_size,Hand,Vision,Type,Angle.Type,Full.Type,duration,Trial_number,subjID,subjposC_x,subjposC_y,AC_angle,AC_dist,SubjAC_angle,SubjAC_dist,DistError,AngleError,M1AE,M1DE,M2AE,M2DE,EEMAE,EEMDE
150,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,66.5805,2,AT11,2.5142,9.0227,195.5706406,9.275138364,264.7269938,6.923311416,0.746437535,69.15635325,-3.382584195,0.726493672,15.14044192,0.605158734,23.34356599,0.085947407
151,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,61.3985,28,AT11,4.6384,7.9263,210.3357898,9.077017704,146.2477233,8.940552093,0.98496581,-64.08806654,-17.03968722,0.6102344,24.35203259,0.534142953,-108.8418047,0.106773212
152,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,67.8652,9,AT11,4.176,8.1298,207.1880141,9.022755268,129.9362587,8.207966141,0.909696196,-77.25175542,-4.466105525,0.670281113,9.049527021,0.675471914,-0.904792009,0.078655343
153,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,55.2994,10,AT11,4.0898,8.4545,205.8150221,9.371047238,208.6790036,6.584468916,0.702639604,2.863981522,-6.104816566,0.694111746,5.736100776,0.561630835,26.86394988,0.226828295
154,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,59.5323,21,AT11,5.882,7.252,219.0450454,9.353033877,188.5854762,11.9878326,1.281705248,-30.45956917,-7.750146867,0.684798983,45.13903147,0.592931207,32.69659722,0.484809486
155,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,80.0846,3,AT11,6.0815,6.8506,221.5965048,9.137245438,248.5122957,8.416482829,0.921118174,26.91579097,-8.87349684,0.573523157,2.435099915,0.788273981,40.28424186,0.400067613
156,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,73.3715,4,AT11,7.5914,5.4157,234.4959633,9.315461991,223.7585515,8.994812536,0.965578792,-10.73741181,-32.2223504,0.61897604,-2.702895971,0.735930545,14.58001652,0.716054216
157,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,65.553,16,AT11,2.5736,-8.9849,344.0163741,9.222530627,314.2688807,9.024166923,0.978491402,29.7474934,-3.853783251,0.731338211,12.16759902,0.526348972,-178.7515744,0.038379616
158,8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,off,iso,obtuse,30-120-30,58.2374,5,AT11,4.5211,-8.3601,331.5957005,9.413947335,304.069158,5.120299517,0.54390569,27.52654251,-15.27605798,0.60275768,24.42653233,0.628285812,-95.77855777,0.193324929
159,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,56.3264,27,AT11,4.2369,-8.3935,333.2161108,9.343759304,2.597647711,7.411415739,0.793194206,-29.38153691,-7.898750922,0.648649993,28.30227919,0.537518773,42.12585227,0.155769815
160,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,50.8986,11,AT11,4.1846,-8.46,333.6814555,9.430083479,322.8902907,5.628969305,0.596916169,10.79116481,-9.753001513,0.695160254,19.94503563,0.490929799,31.2375976,0.255248668
161,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,62.8161,13,AT11,6.1621,-7.0963,319.0304561,9.385685007,320.626852,9.902449457,1.055058789,-1.59639589,-13.47222504,0.585058001,4.847443591,0.67025515,29.34593091,0.533503824
162,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,136.0099,1,AT11,5.8177,-7.089,320.6254441,9.166731937,213.2760876,7.384027411,0.805524527,107.3493565,-13.54774972,0.590937286,2.763624598,0.630851216,56.34280006,0.293144769
163,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,64.4352,24,AT11,7.8076,-5.4008,304.6730148,9.488812093,292.5074517,9.200286944,0.969593122,12.16556309,-20.66469829,0.697176711,18.21514463,0.704664908,8.061776039,0.780093691
164,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,38.7917,26,AT11,2.7069,8.5855,197.4994066,8.932204759,197.4360277,6.26884002,0.701824487,-0.063378898,-8.48505961,0.669755859,8.049771161,0.650582365,44.15845746,0.111058424
165,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,49.7595,17,AT11,4.0269,8.0738,206.508251,8.899778372,166.3673074,7.25551192,0.81524636,-40.14094364,-16.0040069,0.657065455,32.95222785,0.611618514,-71.87061584,0.072642081
166,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,49.983,18,AT11,4.5567,7.9957,209.6785481,9.130105619,167.285139,8.462451007,0.926873287,-42.39340912,-7.247182033,0.67109465,-1.705325048,0.642360989,-81.38229108,0.055426273
167,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,335.0704,15,AT11,4.1587,7.9592,207.5871695,8.975386474,167.7932738,6.772621667,0.754577164,-39.79389569,-10.88931559,0.758677559,35.8197383,0.602179644,34.15939142,0.26789025
168,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,44.0858,25,AT11,6.0265,7.1592,220.090136,9.35724196,202.7337083,7.166021838,0.765826284,-17.35642768,-17.86512784,0.691211794,14.27564282,0.741030206,32.07609092,0.468750706
169,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,53.5347,6,AT11,6.0259,6.8484,221.3445143,9.115948238,182.4812586,6.130369318,0.672488386,-38.86325571,-12.70985512,0.588277196,11.16260674,0.686723485,24.38937716,0.25424491
170,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,53.6581,23,AT11,7.6221,4.904,237.2430854,9.024856937,196.8999556,8.336731682,0.923752226,-40.34312981,-29.1985487,0.691489319,17.37584321,0.69112792,3.079245537,0.716803768
171,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,49.1232,20,AT11,2.4922,-9.0238,344.5608714,9.245482925,11.2430324,8.784381078,0.950126797,-26.68216104,-9.895054334,0.772960732,8.16402055,0.619754361,114.7887884,0.095462688
172,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,41.8179,14,AT11,4.0738,-8.0477,333.1511596,8.910623249,351.9098499,6.023547148,0.675996165,-18.75869035,-9.88719578,0.595616491,11.95386083,0.813743369,-66.16032703,0.094667178
173,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,44.9455,12,AT11,3.9729,-8.348,334.5497374,9.128169283,359.7372772,5.866859849,0.642720316,-25.18753977,-11.62572619,0.594409156,10.63652425,0.655372081,130.7261401,0.182748538
174,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,56.4728,8,AT11,3.9766,-8.2476,334.2588488,9.154236125,22.4988532,4.532917777,0.495171603,-48.24000443,-11.18018908,0.653131398,14.2166158,0.623891592,40.16125017,0.270486146
175,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,63.9331,7,AT11,6.2738,-7.303,319.3350605,9.622674771,200.5696945,7.71346828,0.801592952,118.7653659,-13.96848934,0.64034669,24.13692853,0.65520008,25.78551699,0.539876053
176,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,63.4308,19,AT11,6.2165,-7.6904,321.0498153,9.841954362,309.4062979,12.47464158,1.267496386,11.6435174,-20.34102179,0.643075222,21.30647182,0.515231629,40.83281992,0.232775704
177,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,54.7525,22,AT11,7.5331,-5.5992,306.6226715,9.345864849,331.8751916,10.06822773,1.077292246,-25.25252013,-24.14997095,0.709409093,20.57519108,0.679755423,14.94725089,0.666867229
178,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,59.5216,10,AT12,2.6208,9.016,196.2082618,9.321065068,239.396531,19.21945468,2.061937616,43.18826921,73.65339621,1.06212773,95.19529466,1.171304332,66.60197807,1.381466441
179,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,53.8241,5,AT12,4.0276,7.9382,206.9018442,8.788910674,226.8283969,12.06061399,1.372253563,19.92655263,45.37466877,1.306490776,54.46438628,1.286220717,50.76116221,1.139581928
180,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,50.5962,15,AT12,4.4413,8.1451,208.6024255,9.266128572,240.4981997,18.46841973,1.99311067,31.89577418,42.61878758,1.666328145,55.44263237,1.632014375,48.61134522,1.403272588
181,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,124.8953,13,AT12,4.0527,8.4497,205.6236104,9.373142159,271.0484298,24.66452918,2.631404577,65.42481945,55.39492676,1.543692597,67.82059,1.527488349,55.04491808,1.604260547
182,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,66.5249,3,AT12,5.8816,6.9279,220.3303578,9.078830325,270.2226561,16.98372824,1.870695633,49.89229834,59.89432395,1.734261398,77.21430546,1.714188334,39.97162554,2.02238365
183,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,46.1511,22,AT12,6.4091,7.215,221.6147543,9.645970237,279.0420782,14.51770884,1.505054285,57.42732396,44.05955795,2.005799664,52.80992058,1.988417475,37.49205991,1.598099762
184,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,95.4529,1,AT12,8.2438,5.2308,237.6043334,9.8145975,299.8605126,12.17517511,1.240517006,62.25617921,60.99383718,1.79571268,73.01005597,2.131624003,22.48937959,2.189895447
185,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,35.2952,28,AT12,2.795,-9.3785,343.404782,9.768361656,268.7757444,10.44595289,1.069365904,74.62903757,70.26718781,1.139542481,92.86148088,1.135612528,61.84172771,1.341042617
186,8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,off,iso,obtuse,30-120-30,49.0117,7,AT12,4.5187,-8.3505,331.5808824,9.373980791,309.8019578,9.624737478,1.026750288,21.77892462,34.68176303,1.38648158,43.40317289,1.339489633,47.4571287,1.120556939
187,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,51.2336,8,AT12,4.3355,-8.2178,332.1850233,9.317982924,273.9951208,9.743601421,1.045677106,58.18990255,38.60259545,1.480791183,52.21914704,1.365581425,49.42735649,1.320737285
188,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,65.7758,9,AT12,7.0649,-7.3428,316.105001,10.15899378,256.4143057,19.6676581,1.935984854,59.69069529,44.42747616,1.746087754,58.75094882,1.893241916,36.913565,1.82807916
189,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,57.846,20,AT12,6.4941,-7.2792,318.2624202,9.753681277,246.0476249,21.51687142,2.206025685,72.21479525,56.95353353,1.860749417,66.90236646,2.016206737,38.59836045,1.456284304
190,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,88.5723,12,AT12,7.5652,-5.5629,306.3280693,9.387818941,245.1257525,29.29809122,3.120862407,61.20231681,57.01020297,2.212275072,69.54131456,2.394652432,26.81956102,2.210102966
191,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,48.5867,17,AT12,2.3479,8.98,194.6524788,9.278106021,271.5313454,17.36875888,1.872015564,76.87886657,50.29958935,1.244509273,79.8625673,1.019255215,65.53563394,1.520806038
192,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,32.3687,26,AT12,4.2534,8.0221,207.9329955,9.007217858,219.6936933,11.22699974,1.246444786,11.76069779,42.29718277,1.2547673,51.26302203,1.194290215,47.9201477,1.137736758
193,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,45.1687,19,AT12,4.3526,8.422,207.3305135,9.363460593,251.3139519,20.27465193,2.165294736,43.98343841,34.68579294,1.578719868,46.92996951,1.584814032,51.71352676,1.419180703
194,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,149.3348,14,AT12,4.0328,8.7958,204.6310559,9.641849925,243.9199373,20.49420777,2.125547268,39.28888145,52.78914907,1.524193764,68.41359678,1.550449572,55.46407902,1.616627205
195,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,46.5205,24,AT12,6.3811,6.9817,222.4265348,9.462129108,290.8444975,14.72430051,1.55612974,68.41796273,57.98175564,1.433883402,74.33503591,1.560474723,37.27940501,1.969301514
196,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,38.8025,18,AT12,6.5921,7.2211,222.3927716,9.757803379,249.0155864,16.04974695,1.644811473,26.62281477,35.57102531,1.954475298,42.81976423,1.694713779,33.03430149,1.6453549
197,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,53.6344,27,AT12,8.4064,5.3115,237.7136637,9.930388331,277.0535323,25.34868503,2.552637841,39.33986865,54.16145824,2.051178387,66.38236499,2.339154103,23.90685006,2.057302121
198,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,35.7419,25,AT12,3.3459,-9.6521,340.8811286,10.20555115,268.8082983,9.145278067,0.896108199,72.07283028,59.51640586,0.831486108,86.66606208,0.908851436,59.76723216,1.305168459
199,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,48.0284,11,AT12,4.2274,-8.5965,333.8139657,9.531995483,281.8535083,9.309296775,0.976636717,51.96045746,48.04505853,1.427870121,54.48984552,1.390020315,54.85677076,1.07335243
200,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,52.864,4,AT12,4.4279,-8.2284,331.7142363,9.258157299,309.5606014,9.208947067,0.994684662,22.15363491,50.43468947,1.484081138,64.19423017,1.374436924,47.51697757,1.369186514
201,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,48.0277,21,AT12,4.811,-8.6981,331.0526106,9.924998727,264.0492413,21.08924229,2.124860957,67.00336935,64.30737417,1.515571698,74.58196503,1.649025283,51.34178165,1.570199332
202,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,70.1317,2,AT12,6.5878,-7.4057,318.3450504,9.934590082,248.8181184,16.45457541,1.656291329,69.52693204,56.92458036,1.516751795,71.37909769,1.686202255,41.17985106,1.84332099
203,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,48.1074,6,AT12,6.4577,-7.0338,317.4450994,9.555651073,273.0057497,11.16786388,1.168718258,44.43934972,44.25443558,1.695304801,55.52413987,1.756163462,37.05157666,1.636909987
204,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,57.6461,16,AT12,8.1548,-5.2263,302.6552559,9.577537174,217.306345,23.00006729,2.401459464,85.3489109,61.77550642,2.566411448,68.63917303,2.940707733,24.77841601,2.241879449
205,0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,off,scale,obtuse,60-100-20,41.6837,20,AT13,2.8534,9.2393,197.16241,9.621479005,215.0081401,7.010661382,0.728646955,17.84573009,-3.056876363,0.814430364,-3.67447504,0.698259824,65.70645047,0.399548144
206,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,41.595,23,AT13,5.4279,7.875,214.5768311,9.48292804,172.6883779,8.492204163,0.89552553,-41.88845315,-1.072398874,0.704011435,-8.44816519,0.75179333,54.61748043,0.253394213
207,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,59.8129,3,AT13,4.6338,8.0912,209.7996058,9.320840133,246.5848293,7.763408659,0.832908681,36.78522353,-2.086904724,0.76017028,-8.11540105,0.711022417,58.16537073,0.300129583
208,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,54.8414,4,AT13,6.7191,7.039,223.6680125,9.726497012,208.1689109,10.06307307,1.034604037,-15.49910156,-4.147690591,0.772844149,-1.712658762,0.700137988,55.12353285,0.485500637
209,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,43.974,18,AT13,7.9525,4.8213,238.7731512,9.333573966,257.6329972,3.342158135,0.35807914,18.85984605,-10.27855303,0.725753945,-11.44285891,0.736181449,25.24747522,0.732970534
210,7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,off,scale,obtuse,60-100-20,42.7226,10,AT13,2.8527,-9.3477,343.0290334,9.734776226,335.6243443,8.931539833,0.917487945,7.404689094,-0.556768619,0.760218664,1.883315277,0.749743659,77.67276881,0.339866164
211,8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,off,iso,obtuse,30-120-30,37.1383,15,AT13,4.4785,-8.4188,331.9886224,9.535490161,330.0463614,5.587263933,0.585944072,1.942261057,-0.956273426,0.764023501,-0.214150538,0.726088403,77.54633316,0.228857187
212,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,49.3456,2,AT13,4.4923,-8.4781,332.0821773,9.555350239,344.3260481,7.120892757,0.745225719,-12.24387078,-3.789466679,0.757739965,-0.439437614,0.779044126,64.88683513,0.340337021
213,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,57.981,8,AT13,4.6525,-8.6359,331.6869016,9.802133257,286.9543675,9.966051417,1.016722703,44.73253419,-1.469060773,0.77596411,2.772879995,0.772894871,44.6574067,0.399545172
214,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,50.1397,24,AT13,6.6033,-7.1545,317.2943023,9.738319793,285.0385067,10.85435186,1.114602117,32.25579558,-4.667024998,0.783690448,-3.533370782,0.725916448,40.49431093,0.573223252
215,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,48.898,16,AT13,6.5126,-6.9079,316.6871558,9.477304148,326.9661263,9.261966079,0.977278552,-10.27897046,-0.063890934,0.736294145,-4.233446004,0.742158251,34.82699774,0.408670725
216,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,57.6996,1,AT13,8.0499,-4.9896,301.7920333,9.473795045,302.0122248,6.22238897,0.656800041,-0.220191555,-10.72936748,0.748016037,-13.84299647,0.776747674,28.71857563,0.712885238
217,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,35.7864,11,AT13,3.1256,9.0963,198.9633485,9.604305238,184.4740835,9.44998788,0.983932481,-14.48926494,-2.554136587,0.777722668,-1.719989329,0.810216771,73.82563655,0.362116374
218,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,35.1717,6,AT13,5.0014,8.6406,210.0633548,9.967765369,209.6609171,5.967069419,0.598636625,-0.402437689,-0.950166609,0.774402306,-7.033312436,0.681822002,59.79520056,0.106491569
219,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,33.9879,9,AT13,4.9892,8.6625,209.9399559,9.990802775,201.3452115,6.777739341,0.678397872,-8.594744377,-5.551120575,0.77723572,0.3865464,0.724053163,59.64240849,0.288778463
220,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,32.9369,28,AT13,4.9539,8.2654,210.9365305,9.645610398,182.6819498,9.715078216,1.007202014,-28.25458063,-3.847366627,0.773419063,1.109432985,0.83135738,52.62796964,0.492259021
221,18,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,on,scale,acute,60-75-45,53.3336,7,AT13,6.61,7.2556,222.3341609,9.794799939,219.7325554,13.82483175,1.411446057,-2.601605507,-4.143932658,0.775022688,3.373846603,0.654986755,52.83920175,0.598819134
222,19,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,on,iso-right,iso-right,45-90-45,31.9993,22,AT13,6.4136,7.0852,222.1517363,9.548617777,185.9293038,7.429916008,0.778114297,-36.2224325,-4.259382339,0.738093122,-12.66015008,0.639449384,50.03337931,0.484422624
223,20,10,60,60,60,10,10,10,30,RH,on,equil,acute,60-60-60,46.2632,12,AT13,8.4182,5.1957,238.3171796,9.916334498,222.378794,10.66229976,1.075225907,-15.93838561,-5.312512322,0.805240617,-9.010963207,0.723523301,22.28032939,0.725039518
224,21,10,60,100,20,8.793852416,10,3.472963553,22.26681597,LH,on,scale,obtuse,60-100-20,33.9563,17,AT13,2.8028,-9.4851,343.5378513,9.82535251,351.0905299,7.159383105,0.728664249,-7.55267854,0.068036403,0.784717181,-1.896622284,0.825543783,62.71084982,0.335692599
225,22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,on,iso,obtuse,30-120-30,29.6329,13,AT13,4.7778,-8.3584,330.246999,9.588799111,353.1100035,5.66162769,0.590441788,-22.86300449,-1.755598702,0.736946193,-0.063510954,0.718139554,67.50081694,0.283933389
226,23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,on,scale,obtuse,45-105-30,43.2586,5,AT13,4.7167,-8.3464,330.5284316,9.566767786,335.1959327,9.309643108,0.97312314,-4.66750106,-3.241283661,0.741431682,-1.259231222,0.671695477,78.30615087,0.210083493
227,24,10,60,90,30,8.660254038,10,5,23.66025404,LH,on,right,right,60-90-30,37.4401,27,AT13,4.7549,-8.7166,331.38756,9.929232192,343.2602412,7.491026131,0.754441631,-11.87268119,-6.882615687,0.767776108,-2.378890067,0.802226383,65.59578608,0.452932149
228,25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,on,scale,acute,60-75-45,37.7527,19,AT13,6.6453,-7.3357,317.8270438,9.893322113,321.2021415,6.739750292,0.681242379,-3.375097677,-5.355374522,0.717084271,-5.852673802,0.763990954,49.4382331,0.552151925
229,26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,on,iso-right,iso-right,45-90-45,34.6128,25,AT13,6.9892,-7.0462,315.232686,9.919378981,325.0166063,6.857763987,0.691350134,-9.783920229,-4.359187487,0.754595425,-2.977223835,0.749685001,41.46198292,0.41181192
230,27,10,60,60,60,10,10,10,30,LH,on,equil,acute,60-60-60,43.6282,26,AT13,8.408,-4.8276,299.8630403,9.750557463,282.757213,8.167475314,0.837641883,17.10582733,-8.181660351,0.749278795,-8.167619952,0.775106664,24.04966897,0.800512011
231,1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,off,iso,obtuse,30-120-30,51.0549,28,AT14,4.9375,8.7192,209.5219673,10.01961527,300.6185182,9.233102642,0.921502712,91.09655091,43.48137737,0.491305747,-16.50997212,0.631692582,105.6031463,0.632070296
232,2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,off,scale,obtuse,45-105-30,46.5098,9,AT14,4.7177,8.4941,209.0481892,9.751376286,300.3588208,4.337826604,0.4448425,91.31063158,65.7982738,0.566796695,2.032752557,0.335711745,83.94107272,0.573005262
233,3,10,60,90,30,8.660254038,10,5,23.66025404,RH,off,right,right,60-90-30,50.0272,10,AT14,4.8825,8.5982,209.5901378,9.889081931,315.8070761,7.023425985,0.710220224,106.2169383,70.21188259,0.4569366,116.6829965,0.472030596,59.70612197,0.511497316
234,4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,RH,off,scale,acute,60-75-45,48.654,21,AT14,7.047,7.0853,224.8447229,9.996338967,243.9820882,6.253207172,0.625549733,19.13736533,71.94323361,0.737307368,51.49766417,0.40633216,47.45466606,0.536389882
235,5,10,45,90,45,7.071067812,10,7.071067812,24.14213562,RH,off,iso-right,iso-right,45-90-45,73.9186,3,AT14,6.8507,7.1269,223.867972,9.883171088,11.41146414,8.716255767,0.881929058,147.5434922,43.05681373,0.598401993,53.80025168,0.79197852,70.92231068,0.530649378
236,6,10,60,60,60,10,10,10,30,RH,off,equil,acute,60-60-60,68.5688,4,AT14,8.5331,4.4946,242.2230871,9.464157774,312.1861428,5.542621764,0.585643424,69.96305572,68.53063298,1.109101638,76.42979882,1.382313713,17.49693379,0.573218222
237,8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,LH,off,iso,obtuse,30-120-30,55.8363,5,AT14,4.8163,-8.6413,330.8665288,9.740491873,0.874758757,12.33315108,1.266173335,-30.00822992,39.36185218,0.420318434,-26.33123928,0.165670894,106.8378485,0.659137631
238,9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,LH,off,scale,obtuse,45-105-30,39.239,27,AT14,5.1264,-8.344,328.4342,9.802168693,314.5888694,7.180103144,0.732501487,13.84533053,62.76064451,0.459157279,15.66211398,0.403927596,82.66636745,0.582950318
239,10,10,60,90,30,8.660254038,10,5,23.66025404,LH,off,right,right,60-90-30,42.7232,11,AT14,4.903,-8.0845,328.7644799,9.511149844,261.6363956,6.5269632,0.686243336,67.12808425,81.80692463,0.557451066,106.5180666,0.235751029,63.24746151,0.574563371
240,11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,LH,off,scale,acute,60-75-45,40.4322,13,AT14,7.016,-7.0681,315.211948,10.06187737,203.8226352,8.884018136,0.882938422,111.3893127,63.94266425,0.6823757,117.5219202,0.893993433,42.08084418,0.566014436
241,12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,LH,off,iso-right,iso-right,45-90-45,69.7285,1,AT14,6.9862,-6.6764,313.7010385,9.663701454,274.0867542,6.101013136,0.631332949,39.61428427,61.35033377,0.615329931,55.8384754,0.90850268,75.15164541,0.565838016
242,13,10,60,60,60,10,10,10,30,LH,off,equil,acute,60-60-60,51.0437,24,AT14,8.7106,-5.0116,299.9137543,10.086022,188.7721113,8.339645711,0.826851826,111.141643,65.53032752,1.008896169,99.11680231,0.868978168,42.10050668,0.510399878
243,14,10,60,100,20,8.793852416,10,3.472963553,22.26681597,RH,on,scale,obtuse,60-100-20,66.1997,26,AT14,3.2931,9.0601,199.9748295,9.642103549,275.9144404,3.631190996,0.376597386,75.9396109,74.53390249,0.468924051,-161.5645156,0.456312041,68.37980365,0.582428668
244,15,10,30,120,30,5.773502692,10,5.773502692,21.54700538,RH,on,iso,obtuse,30-120-30,270.8018,17,AT14,5.0672,8.5569,210.6330448,9.904975835,329.289461,7.696586906,0.777042472,118.6564162,33.1025902,0.465765112,38.63160763,0.937083529,112.7741841,0.680616154
245,16,10,45,105,30,7.320508076,10,5.176380902,22.49688898,RH,on,scale,obtuse,45-105-30,34.4118,18,AT14,4.5439,8.3562,208.536281,9.499446599,235.13639,8.107590025,0.853480247,26.60010905,56.84669116,0.470349617,76.48144376,0.348368005,88.55386835,0.62040799
246,17,10,60,90,30,8.660254038,10,5,23.66025404,RH,on,right,right,60-90-30,44.1982,15,AT14,4.6507,8.6669,208.2182197,9.831981179,312.8329566,6.866032812,0.698336651,104.6147369,73.12265315,0.508169212,-59.73165273,0.060759847,62.56921306,0.580474827
