"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"72",5,6,60,80,40,4.042,6,5.299,15.19253332,"LH","off","scale","acute","60-80-40",33.9101,4,"DT04",0.645730949,-75.30750617,-43.526553235212,0.366371811293152,-24.2258002109934,0.372729255776818,-84.1203091784841,0.665725446553604
"73",6,10,60,80,40,6.736,10,8.832,25.32088886,"LH","off","scale","acute","60-80-40",80.7881,17,"DT04",1.544549324,-28.47736314,-44.6288492492146,0.233036719177969,-29.0886197501252,0.37691468860105,-55.3481379446564,0.494926789301392
"74",6,10,60,80,40,6.736,10,8.832,25.32088886,"LH","off","scale","acute","60-80-40",52.1942,3,"DT04",0.565798858,-37.88239752,-54.1490408474799,0.288389941003893,-27.8548104850688,0.290829705668459,-52.9761714388123,0.410143612263784
"75",6,10,60,80,40,6.736,10,8.832,25.32088886,"LH","off","scale","acute","60-80-40",55.1655,10,"DT04",1.165517114,-14.05321648,-46.2027978295265,0.308258638872906,-18.6066812666472,0.810727156707079,-51.0876879633816,0.486508968478966
"76",7,50,60,80,40,33.682,50,44.163,126.6044443,"LH","off","scale","acute","60-80-40",176.7439,21,"DT04",0.543804338,126.7499093,-38.134390714139,0.302243128797503,-30.7530564339724,0.293251247285693,-25.6889114299235,0.311852114734145
"77",7,50,60,80,40,33.682,50,44.163,126.6044443,"LH","off","scale","acute","60-80-40",197.1846,19,"DT04",0.675567819,38.72949667,-34.778051681209,0.258051568619223,-37.5718422236454,0.311077198581509,-40.5541269588639,0.243517723613022
"78",7,50,60,80,40,33.682,50,44.163,126.6044443,"LH","off","scale","acute","60-80-40",188.3935,25,"DT04",0.808106789,-38.12818578,-36.1358739148366,0.31032446634227,-21.0979139082507,0.302576555257399,-29.1326478684648,0.223915147467946
"79",7,50,60,80,40,33.682,50,44.163,126.6044443,"LH","off","scale","acute","60-80-40",177.4257,6,"DT04",0.56920105,104.5144838,-37.7484932860096,0.272653871287499,-26.1045471784287,0.347027957316806,-29.7751896246043,0.297317391695143
"80",8,100,60,80,40,67.365,100,88.327,253.2088886,"LH","off","scale","acute","60-80-40",747.6667,12,"DT04",0.329009427,51.03822736,-33.73854986995,0.289754491876115,-23.0918313401343,0.368651679826065,-16.0115936970973,0.28227130667899
"81",8,100,60,80,40,67.365,100,88.327,253.2088886,"LH","off","scale","acute","60-80-40",306.4201,9,"DT04",0.512420817,19.02305727,-31.5700434652362,0.284512476873258,-28.5340515225598,0.292569019850839,-29.636445161926,0.272540100364974
