"","Triangle_index","Size","Angle.C","Angle.B","Angle.A","Side.A_B","SideC_A","Side.B_C","Total_size","Hand","Vision","Type","Angle.Type","Full.Type","duration","Trial_number","subjID","DistError","AngleError","M1AE","M1DE","M2AE","M2DE","EEMAE","EEMDE"
"43",22,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","on","iso","obtuse","30-120-30",32.7708,15,"AT03",0.76281671,-29.88959409,14.7661150390678,0.882934717317093,-0.0357538705711136,0.860076326243828,107.296952723294,0.530395436526157
"44",23,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","on","scale","obtuse","45-105-30",27.8221,25,"AT03",0.746653106,-20.04814795,19.6612241062688,0.909569896188275,-2.28680671425957,0.945426834072921,91.0445165694327,0.679115682802456
"45",24,10,60,90,30,8.660254038,10,5,23.66025404,"LH","on","right","right","60-90-30",33.05,14,"AT03",1.020393767,35.51627879,26.6151199577347,0.800655615724317,-0.554452153830312,0.766596651961927,78.6162955513022,0.832975469111794
"46",25,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","on","scale","acute","60-75-45",36.3898,16,"AT03",0.992867262,16.31672276,22.1344950492296,0.89965628742502,9.92395107012499,0.819969479431969,55.8140638895738,0.942711675437767
"47",26,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","on","iso-right","iso-right","45-90-45",45.839,3,"AT03",0.991412539,-12.0275259,16.4863039228053,0.839230791639103,5.1473203528314,0.920608389017672,75.2880854358262,0.808822886137323
"48",27,10,60,60,60,10,10,10,30,"LH","on","equil","acute","60-60-60",40.1433,4,"AT03",1.002685374,-11.72803506,25.4007152852574,1.10721497407439,13.8594923631918,0.756893320459569,44.294158738736,1.05884055648195
"49",0,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"RH","off","scale","obtuse","60-100-20",37.7083,10,"AT05",1.129325815,7.765981523,4.86790714319108,0.624171371107126,19.7867089038053,0.822382079412284,88.9742769896716,0.54729761737617
"50",1,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"RH","off","iso","obtuse","30-120-30",44.398,5,"AT05",1.010681806,6.908033715,10.6143807279955,0.813234677026511,15.9461950918068,0.895136447487752,82.9368171387354,0.433842383994276
"51",2,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"RH","off","scale","obtuse","45-105-30",38.836,15,"AT05",1.15533467,81.71289237,25.0666411264946,0.808939311503276,-14.9086933677073,0.798483005551537,70.0641623321908,0.576991980405493
"52",3,10,60,90,30,8.660254038,10,5,23.66025404,"RH","off","right","right","60-90-30",32.9278,13,"AT05",0.935728104,25.31371857,10.1225283055065,0.689401393754402,22.6779831852001,0.88600162016007,68.7143939162999,0.60044088966554
"53",4,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"RH","off","scale","acute","60-75-45",44.9453,3,"AT05",0.975340295,41.98779851,29.0893475684568,0.743261171655524,18.7780576588127,0.95535121606518,53.278185432438,0.847617502757873
"54",6,10,60,60,60,10,10,10,30,"RH","off","equil","acute","60-60-60",65.6189,1,"AT05",0.933124333,61.58015202,40.131543147618,1.01388346491173,2.92730644676797,0.787179698015344,46.0848965120949,0.825110624121114
"55",7,10,60,100,20,8.793852416,10,3.472963553,22.26681597,"LH","off","scale","obtuse","60-100-20",28.6043,28,"AT05",0.523573635,60.84648415,13.767809135007,0.549454157726756,8.6105687350601,0.90676154050037,80.3196530235591,0.528809939480313
"56",8,10,30,120,30,5.773502692,10,5.773502692,21.54700538,"LH","off","iso","obtuse","30-120-30",43.0126,7,"AT05",0.983101397,19.49398974,14.3427541070132,0.815074583259719,5.48442334142743,1.04034661740308,78.6747961955146,0.39884609452943
"57",9,10,45,105,30,7.320508076,10,5.176380902,22.49688898,"LH","off","scale","obtuse","45-105-30",36.0439,8,"AT05",0.955470331,22.50099755,16.8203171095549,0.655150636617785,5.28302051661927,1.05046765287809,78.2732310233242,0.546138720969386
"58",10,10,60,90,30,8.660254038,10,5,23.66025404,"LH","off","right","right","60-90-30",40.0316,23,"AT05",0.760751282,44.93503814,29.2098601452473,0.740543847491694,5.95705505827385,0.827292846761253,77.0838102967081,0.61464842036593
"59",11,10,60,75,45,8.965754722,10,7.320508076,26.2862628,"LH","off","scale","acute","60-75-45",40.4774,9,"AT05",1.083983304,10.78360798,40.1096909923318,0.705785227891987,4.4146888717587,1.06682097632543,63.5833905190162,0.746041020728715
"60",12,10,45,90,45,7.071067812,10,7.071067812,24.14213562,"LH","off","iso-right","iso-right","45-90-45",31.5435,20,"AT05",0.654560068,9.998573944,18.0764181761212,0.913101299662559,15.6147690219753,0.920336495366425,66.2284643822058,0.660193831359966
